%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
7802000000,75,7802000000,bluerov2/pressure_link,1032.4599960712603,9.0
7902000000,76,7902000000,bluerov2/pressure_link,1032.9293837864884,9.0
8002000000,77,8002000000,bluerov2/pressure_link,1033.4954921101396,9.0
8102000000,78,8102000000,bluerov2/pressure_link,1034.1356186279202,9.0
8202000000,79,8202000000,bluerov2/pressure_link,1034.807950061824,9.0
8302000000,80,8302000000,bluerov2/pressure_link,1035.4643696173732,9.0
8402000000,81,8402000000,bluerov2/pressure_link,1036.0518566848318,9.0
8502000000,82,8502000000,bluerov2/pressure_link,1036.51779022606,9.0
8602000000,83,8602000000,bluerov2/pressure_link,1036.8242997014042,9.0
8702000000,84,8702000000,bluerov2/pressure_link,1036.9674502878001,9.0
8802000000,85,8802000000,bluerov2/pressure_link,1036.9627869168294,9.0
8902000000,86,8902000000,bluerov2/pressure_link,1036.8470134942056,9.0
9002000000,87,9002000000,bluerov2/pressure_link,1036.655893678581,9.0
9102000000,88,9102000000,bluerov2/pressure_link,1036.4205849344805,9.0
9202000000,89,9202000000,bluerov2/pressure_link,1036.1541059292003,9.0
9302000000,90,9302000000,bluerov2/pressure_link,1035.869766492919,9.0
9402000000,91,9402000000,bluerov2/pressure_link,1035.579733584507,9.0
9502000000,92,9502000000,bluerov2/pressure_link,1035.2958429357486,9.0
9602000000,93,9602000000,bluerov2/pressure_link,1035.0260716619987,9.0
9702000000,94,9702000000,bluerov2/pressure_link,1034.7793401497383,9.0
9802000000,95,9802000000,bluerov2/pressure_link,1034.5578632747643,9.0
9902000000,96,9902000000,bluerov2/pressure_link,1034.351459623603,9.0
10002000000,97,10002000000,bluerov2/pressure_link,1034.1666295848215,9.0
10102000000,98,10102000000,bluerov2/pressure_link,1034.0096514649535,9.0
10202000000,99,10202000000,bluerov2/pressure_link,1033.8825987937137,9.0
10302000000,100,10302000000,bluerov2/pressure_link,1033.7761317599397,9.0
10402000000,101,10402000000,bluerov2/pressure_link,1033.6782448622178,9.0
10502000000,102,10502000000,bluerov2/pressure_link,1033.5856721933656,9.0
10602000000,103,10602000000,bluerov2/pressure_link,1033.4971793460893,9.0
10702000000,104,10702000000,bluerov2/pressure_link,1033.419736040548,9.0
10802000000,105,10802000000,bluerov2/pressure_link,1033.350651056926,9.0
10902000000,106,10902000000,bluerov2/pressure_link,1033.2890291514277,9.0
11002000000,107,11002000000,bluerov2/pressure_link,1033.2358843962888,9.0
11102000000,108,11102000000,bluerov2/pressure_link,1033.1838089944988,9.0
