timestamp x y z qw qx qy qz
-1.0 9.822589883650307 19.3049119523451 -94.78894713416668 0.851755457104218 -0.0014960102944787 0.0009679872671528 -0.5239365097481128
0.0 3.2547494117402254 6.3491026497975085 -31.599361551888194 0.259572114209656 0.001735754366245016 0.0046190422071272575 -0.24504970002830417
1.0 1.2203893065539462 2.324042848761943 -11.850332816233827 0.07022335963708318 0.0021421252956711294 0.0021019115783671646 -0.1313281589696571
2.0 0.46574848123403145 0.8311823590468099 -4.51506204456888 0.00239293605945283 0.0021261876039953666 0.001209276383580437 -0.08113260370444739
3.0 0.18055565582545363 0.2650252498664375 -1.724612449822943 -0.01950692368310559 0.0017845964089321085 0.0009177690854692565 -0.054095342275045345
4.0 0.0754788060897304 0.05232580593289421 -0.6593455811178606 -0.024684520657478018 0.001519026460641398 0.0007872158771519279 -0.039188100902293375
5.0 0.037145399113199626 -0.02795944626744362 -0.2524917977457657 -0.024119460767236214 0.0013734281823396853 0.0007218222733217497 -0.030837764814390142
6.0 0.020370161314702154 -0.06078408515468583 -0.0971277114875582 -0.023595661836312037 0.0011644950277398336 0.0007071760681606351 -0.025674807122568966
7.0 0.008723681081897569 -0.0736498554935425 -0.03726118188565337 -0.009892897032372835 0.000398144330067162 0.0001692399652088091 -0.010227751376296602
8.0 0.0040130483618567294 -0.09128158243219256 -0.0144510515411415 -0.0029561605206751933 0.0001001983388863875 -1.1372986186285926e-05 -0.0002148063625731656
9.0 0.0014482526024842245 -0.08826594912898313 -0.005702560921981931 -0.001573961475713449 -1.8326953180797923e-05 -5.6552796097608215e-05 -0.0006452535788999474
10.0 0.0004865352429820948 -0.09552389095250644 -0.002336017392885293 -0.0012196732669310668 -4.414873367363874e-05 -0.00013029015858849962 -0.0006079048287061041
11.0 -0.0001918794226743267 -0.09895879149698633 -0.0010450976770164093 -0.001048262818852866 -5.247910855175904e-05 -0.0001673030811316486 -0.0006710682597967064
12.0 4.449423844326029e-05 -0.09754727153781015 -0.0005626936039846776 -0.0011237580765711473 -5.546473927450733e-05 -0.0001658045244380177 -0.0006139495079453302
13.0 0.00010606883657683418 -0.0943212555969222 -0.00039097470013974294 -0.0009442898293367342 -7.406825385215964e-05 -0.00012961690945581086 -0.0006347384074548349
14.0 -0.0005841507605620182 -0.09448462788701129 -0.00029866770886037 -0.0009609146478951692 -6.557098942378883e-05 -0.00015651374125806204 -0.0008907623107595902
15.0 -4.3438360211612084e-05 -0.10073635294038454 -0.00025034108803246777 -0.0010121289046721195 -6.035584651151877e-05 -0.00022060566335902295 -0.0008223569400045085
16.0 -0.0004980670000706549 -0.10003046707493228 -0.00023320032107423643 -0.0010223750300480479 -5.353070823095837e-05 -0.00021959215228864654 -0.0009883630453014765
17.0 -0.0005981956754290357 -0.10405899600694321 -0.0002575091532109385 -0.0009551495699761106 -5.8730999676959e-05 -0.0001914577502119123 -0.0005835087103855173
18.0 -0.001047965117201949 -0.10497417781977554 -0.00024786567868082226 -0.0008649073347905497 -5.929133048370231e-05 -0.00019970770869521658 -0.0006976640794850223
19.0 -0.0013667435897397647 -0.10776632948470234 -0.00025634146296184377 -0.0008209466213139203 -6.031687085299744e-05 -0.00019551006181387789 -0.0005539804572269325
20.0 -0.0011682737345664923 -0.10555760614514471 -0.0002335678864347222 -0.0009569671688035459 -5.047891433121841e-05 -0.00022358335302058056 -0.0009318604749546573
21.0 -0.0009141124107675982 -0.10581006376575178 -0.00023522364970799593 -0.0008620546724149446 -5.886522744481262e-05 -0.00022205502007553265 -0.0007989622597179218
22.0 -0.00191207684390258 -0.11037543610628266 -0.00026028161017124297 -0.0007818420095239778 -6.507370018646976e-05 -0.0001996138499250605 -0.0006103753028419414
23.0 -0.0010236742784142105 -0.1085587746982113 -0.00025016279992625426 -0.0007557878492115122 -6.732399125061087e-05 -0.00021078164081468853 -0.0006764115554067407
